Ticker,Name,"ISIN
"
OTIS UN Equity,Otis Worldwide Corp,US68902V1070
BAX UN Equity,Baxter International Inc,US0718131099
BDX UN Equity,Becton Dickinson & Co,US0758871091
BRK/B UN Equity,Berkshire Hathaway Inc,US0846707026
BBY UN Equity,Best Buy Co Inc,US0865161014
BSX UN Equity,Boston Scientific Corp,US1011371077
BMY UN Equity,Bristol-Myers Squibb Co,US1101221083
FBIN UN Equity,Fortune Brands Innovations Inc,US34964C1062
BF/B UN Equity,Brown-Forman Corp,US1156372096
CTRA UN Equity,Coterra Energy Inc,US1270971039
KSU UN Equity,Kansas City Southern/Old,US4851703029
CPB UN Equity,The Campbell's Company,US1344291091
HLT UN Equity,Hilton Worldwide Holdings Inc,US43300A2033
QRVO UW Equity,Qorvo Inc,US74736K1016
LUMN UN Equity,Lumen Technologies Inc,US5502411037
UDR UN Equity,UDR Inc,US9026531049
CLX UN Equity,Clorox Co/The,US1890541097
PAYC UN Equity,Paycom Software Inc,US70432V1026
CMS UN Equity,CMS Energy Corp,US1258961002
NWL UW Equity,Newell Brands Inc,US6512291062
CL UN Equity,Colgate-Palmolive Co,US1941621039
CMA UN Equity,Comerica Inc,US2003401070
IPGP UW Equity,IPG Photonics Corp,US44980X1090
CAG UN Equity,Conagra Brands Inc,US2058871029
ED UN Equity,Consolidated Edison Inc,US2091151041
GLW UN Equity,Corning Inc,US2193501051
CMI UN Equity,Cummins Inc,US2310211063
DHR UN Equity,Danaher Corp,US2358511028
TGT UN Equity,Target Corp,US87612E1064
DE UN Equity,Deere & Co,US2441991054
D UN Equity,Dominion Energy Inc,US25746U1097
LNT UW Equity,Alliant Energy Corp,US0188021085
DOV UN Equity,Dover Corp,US2600031080
DUK UN Equity,Duke Energy Corp,US26441C2044
REG UW Equity,Regency Centers Corp,US7588491032
ETN UN Equity,Eaton Corp PLC,IE00B8KQN827
ECL UN Equity,Ecolab Inc,US2788651006
RVTY UN Equity,Revvity Inc,US7140461093
EMR UN Equity,Emerson Electric Co,US2910111044
EOG UN Equity,EOG Resources Inc,US26875P1012
AON UN Equity,Aon PLC,IE00BLP1HW54
ETR UN Equity,Entergy Corp,US29364G1031
EFX UN Equity,Equifax Inc,US2944291051
IQV UN Equity,IQVIA Holdings Inc,US46266C1053
IT UN Equity,Gartner Inc,US3666511072
FDX UN Equity,FedEx Corp,US31428X1063
FMC UN Equity,FMC Corp,US3024913036
F UN Equity,Ford Motor Co,US3453708600
NEE UN Equity,NextEra Energy Inc,US65339F1012
BEN UN Equity,Franklin Resources Inc,US3546131018
FCX UN Equity,Freeport-McMoRan Inc,US35671D8570
GAP UN Equity,Gap Inc/The,US3647601083
DXCM UW Equity,Dexcom Inc,US2521311074
GD UN Equity,General Dynamics Corp,US3695501086
GIS UN Equity,General Mills Inc,US3703341046
GPC UN Equity,Genuine Parts Co,US3724601055
ATO UN Equity,Atmos Energy Corp,US0495601058
GWW UN Equity,WW Grainger Inc,US3848021040
HAL UN Equity,Halliburton Co,US4062161017
LHX UN Equity,L3Harris Technologies Inc,US5024311095
DOC UN Equity,Healthpeak Properties Inc,US42250P1030
CTLT UN Equity,Catalent Inc,US1488061029
FTV UN Equity,Fortive Corp,US34959J1088
SYF UN Equity,Synchrony Financial,US87165B1035
HSY UN Equity,Hershey Co/The,US4278661081
HRL UN Equity,Hormel Foods Corp,US4404521001
AJG UN Equity,Arthur J Gallagher & Co,US3635761097
MDLZ UW Equity,Mondelez International Inc,US6092071058
CNP UN Equity,CenterPoint Energy Inc,US15189T1079
WTW UW Equity,Willis Towers Watson PLC,IE00BDB6Q211
HUM UN Equity,Humana Inc,US4448591028
ITW UN Equity,Illinois Tool Works Inc,US4523081093
CDW UW Equity,CDW Corp/DE,US12514G1085
TT UN Equity,Trane Technologies PLC,IE00BK9ZQ967
IPG UN Equity,Interpublic Group of Cos Inc/The,US4606901001
9990213D UN Equity,Jacobs Engineering Group Inc,US4698141078
HBI UN Equity,Hanesbrands Inc,US4103451021
K UN Equity,Kellanova,US4878361082
BR UN Equity,Broadridge Financial Solutions Inc,US11133T1034
PRGO UN Equity,Perrigo Co PLC,IE00BGH1M568
KMB UN Equity,Kimberly-Clark Corp,US4943681035
KIM UN Equity,Kimco Realty Corp,US49446R1095
ORCL UN Equity,Oracle Corp,US68389X1054
KR UN Equity,Kroger Co/The,US5010441013
LEG UN Equity,Leggett & Platt Inc,US5246601075
LEN UN Equity,Lennar Corp,US5260571048
LLY UN Equity,Eli Lilly & Co,US5324571083
CHTR UW Equity,Charter Communications Inc,US16119P1084
BBWI UN Equity,Bath & Body Works Inc,US0708301041
LNC UN Equity,Lincoln National Corp,US5341871094
L UN Equity,Loews Corp,US5404241086
LOW UN Equity,Lowe's Cos Inc,US5486611073
XRX UN Equity,Xerox Holdings Corp,US98421M1062
IEX UN Equity,IDEX Corp,US45167R1041
MMC UN Equity,Marsh & McLennan Cos Inc,US5717481023
MAS UN Equity,Masco Corp,US5745991068
SPGI UN Equity,S&P Global Inc,US78409V1044
MDT UN Equity,Medtronic PLC,IE00BTN1Y115
VTRS UW Equity,Viatris Inc,US92556V1061
CVS UN Equity,CVS Health Corp,US1266501006
MU UW Equity,Micron Technology Inc,US5951121038
MSI UN Equity,Motorola Solutions Inc,US6200763075
CBOE UF Equity,Cboe Global Markets Inc,US12503M1080
9980328D UN Equity,Laboratory Corp of America Holdings,US50540R4092
NEM UN Equity,Newmont Corp,US6516391066
NKE UN Equity,NIKE Inc,US6541061031
NI UN Equity,NiSource Inc,US65473P1057
PFG UW Equity,Principal Financial Group Inc,US74251V1026
NSC UN Equity,Norfolk Southern Corp,US6558441084
ES UN Equity,Eversource Energy,US30040W1080
NOC UN Equity,Northrop Grumman Corp,US6668071029
WFC UN Equity,Wells Fargo & Co,US9497461015
NUE UN Equity,Nucor Corp,US6703461052
PVH UN Equity,PVH Corp,US6936561009
OXY UN Equity,Occidental Petroleum Corp,US6745991058
OMC UN Equity,Omnicom Group Inc,US6819191064
OKE UN Equity,ONEOK Inc,US6826801036
RJF UN Equity,Raymond James Financial Inc,US7547301090
PH UN Equity,Parker-Hannifin Corp,US7010941042
ROL UN Equity,Rollins Inc,US7757111049
PPL UN Equity,PPL Corp,US69351T1060
PHM UN Equity,PulteGroup Inc,US7458671010
PNW UN Equity,Pinnacle West Capital Corp,US7234841010
PNC UN Equity,PNC Financial Services Group Inc/The,US6934751057
PPG UN Equity,PPG Industries Inc,US6935061076
PGR UN Equity,Progressive Corp/The,US7433151039
PEG UN Equity,Public Service Enterprise Group Inc,US7445731067
RHI UN Equity,Robert Half Inc,US7703231032
EIX UN Equity,Edison International,US2810201077
SLB UN Equity,Schlumberger NV,AN8068571086
SCHW UN Equity,Charles Schwab Corp/The,US8085131055
SHW UN Equity,Sherwin-Williams Co/The,US8243481061
WST UN Equity,West Pharmaceutical Services Inc,US9553061055
SJM UN Equity,J M Smucker Co/The,US8326964058
AME UN Equity,AMETEK Inc,US0311001004
SNA UN Equity,Snap-on Inc,US8330341012
SO UN Equity,Southern Co/The,US8425871071
TFC UN Equity,Truist Financial Corp,US89832Q1094
LUV UN Equity,Southwest Airlines Co,US8447411088
WRB UN Equity,W R Berkley Corp,US0844231029
SWK UN Equity,Stanley Black & Decker Inc,US8545021011
PSA UN Equity,Public Storage,US74460D1090
ANET UN Equity,Arista Networks Inc,US0404132054
SYY UN Equity,Sysco Corp,US8718291078
CTVA UN Equity,Corteva Inc,US22052L1044
TXN UW Equity,Texas Instruments Inc,US8825081040
TXT UN Equity,Textron Inc,US8832031012
TMO UN Equity,Thermo Fisher Scientific Inc,US8835561023
TJX UN Equity,TJX Cos Inc/The,US8725401090
GL UN Equity,Globe Life Inc,US37959E1029
ULTA UW Equity,Ulta Beauty Inc,US90384S3031
JCI UN Equity,Johnson Controls International plc,IE00BY7QL619
KEYS UN Equity,Keysight Technologies Inc,US49338L1035
UNP UN Equity,Union Pacific Corp,US9078181081
UNH UN Equity,UnitedHealth Group Inc,US91324P1021
UNM UN Equity,Unum Group,US91529Y1064
MRO UN Equity,Marathon Oil Corp,US5658491064
VAR UN Equity,Varian Medical Systems Inc,US92220P1057
BIO UN Equity,Bio-Rad Laboratories Inc,US0905722072
VTR UN Equity,Ventas Inc,US92276F1003
VFC UN Equity,VF Corp,US9182041080
VNO UN Equity,Vornado Realty Trust,US9290421091
VMC UN Equity,Vulcan Materials Co,US9291601097
WY UN Equity,Weyerhaeuser Co,US9621661043
WHR UN Equity,Whirlpool Corp,US9633201069
WMB UN Equity,Williams Cos Inc/The,US9694571004
ADBE UW Equity,Adobe Inc,US00724F1012
AES UN Equity,AES Corp/The,US00130H1059
AMGN UW Equity,Amgen Inc,US0311621009
AAPL UW Equity,Apple Inc,US0378331005
ADSK UW Equity,Autodesk Inc,US0527691069
CTAS UW Equity,Cintas Corp,US1729081059
CMCSA UW Equity,Comcast Corp,US20030N1019
TAP UN Equity,Molson Coors Beverage Co,US60871R2094
MAR UW Equity,Marriott International Inc/MD,US5719032022
KLAC UW Equity,KLA Corp,US4824801009
MKC UN Equity,McCormick & Co Inc/MD,US5797802064
PCAR UW Equity,PACCAR Inc,US6937181088
COST UW Equity,Costco Wholesale Corp,US22160K1051
FRCB UN Equity,First Republic Bank/CA,US33616C1009
SYK UN Equity,Stryker Corp,US8636671013
TSN UN Equity,Tyson Foods Inc,US9024941034
LW UN Equity,Lamb Weston Holdings Inc,US5132721045
AMAT UW Equity,Applied Materials Inc,US0382221051
AAL UW Equity,American Airlines Group Inc,US02376R1023
CAH UN Equity,Cardinal Health Inc,US14149Y1082
CERN UW Equity,Cerner Corp,US1567821046
CINF UW Equity,Cincinnati Financial Corp,US1720621010
PARA UW Equity,Paramount Global,US92556H2067
DHI UN Equity,DR Horton Inc,US23331A1097
FLS UN Equity,Flowserve Corp,US34354P1057
EA UW Equity,Electronic Arts Inc,US2855121099
EXPD UW Equity,Expeditors International of Washington Inc,US3021301094
FAST UW Equity,Fastenal Co,US3119001044
MTB UN Equity,M&T Bank Corp,US55261F1049
XEL UW Equity,Xcel Energy Inc,US98389B1008
FI UW Equity,Fiserv Inc,US3377381088
FITB UW Equity,Fifth Third Bancorp,US3167731005
GILD UW Equity,Gilead Sciences Inc,US3755581036
HAS UW Equity,Hasbro Inc,US4180561072
HBAN UW Equity,Huntington Bancshares Inc/OH,US4461501045
WELL UN Equity,Welltower Inc,US95040Q1040
BIIB UW Equity,Biogen Inc,US09062X1037
NTRS UW Equity,Northern Trust Corp,US6658591044
PKG UN Equity,Packaging Corp of America,US6951561090
PAYX UW Equity,Paychex Inc,US7043261079
PBCT UW Equity,People's United Financial Inc,US7127041058
QCOM UW Equity,QUALCOMM Inc,US7475251036
ROP UN Equity,Roper Technologies Inc,US7766961061
ROST UW Equity,Ross Stores Inc,US7782961038
IDXX UW Equity,IDEXX Laboratories Inc,US45168D1046
SBUX UW Equity,Starbucks Corp,US8552441094
FOXA UW Equity,Fox Corp,US35137L1052
KEY UN Equity,KeyCorp,US4932671088
FOX UW Equity,Fox Corp,US35137L2043
STT UN Equity,State Street Corp,US8574771031
AOS UN Equity,A O Smith Corp,US8318652091
USB UN Equity,US Bancorp,US9029733048
GEN UW Equity,Gen Digital Inc,US6687711084
TROW UW Equity,T Rowe Price Group Inc,US74144T1088
WM UN Equity,Waste Management Inc,US94106L1098
STZ UN Equity,Constellation Brands Inc,US21036P1084
XLNX UW Equity,Xilinx Inc,US9839191015
XRAY UW Equity,DENTSPLY SIRONA Inc,US24906P1093
ZION UW Equity,Zions Bancorp NA,US9897011071
ALK UN Equity,Alaska Air Group Inc,US0116591092
IVZ UN Equity,Invesco Ltd,BMG491BT1088
INTU UW Equity,Intuit Inc,US4612021034
MCHP UW Equity,Microchip Technology Inc,US5950171042
HOLX UW Equity,Hologic Inc,US4364401012
CB UN Equity,Chubb Ltd,CH0044328745
CFG UN Equity,Citizens Financial Group Inc,US1746101054
ORLY UW Equity,O'Reilly Automotive Inc,US67103H1077
ALL UN Equity,Allstate Corp/The,US0200021014
FLIR UW Equity,FLIR Systems Inc,US3024451011
EQR UN Equity,Equity Residential,US29476L1070
BWA UN Equity,BorgWarner Inc,US0997241064
HST UW Equity,Host Hotels & Resorts Inc,US44107P1049
INCY UW Equity,Incyte Corp,US45337C1027
SPG UN Equity,Simon Property Group Inc,US8288061091
TWTR UN Equity,Twitter Inc,US90184L1026
EMN UN Equity,Eastman Chemical Co,US2774321002
AVB UN Equity,AvalonBay Communities Inc,US0534841012
PRU UN Equity,Prudential Financial Inc,US7443201022
UPS UN Equity,United Parcel Service Inc,US9113121068
WBA UW Equity,Walgreens Boots Alliance Inc,US9314271084
STE UN Equity,STERIS PLC,IE00BFY8C754
MCK UN Equity,McKesson Corp,US58155Q1031
LMT UN Equity,Lockheed Martin Corp,US5398301094
COR UN Equity,Cencora Inc,US03073E1055
COF UN Equity,Capital One Financial Corp,US14040H1059
WAT UN Equity,Waters Corp,US9418481035
DLTR UW Equity,Dollar Tree Inc,US2567461080
DRI UN Equity,Darden Restaurants Inc,US2371941053
NVR UN Equity,NVR Inc,US62944T1051
DPZ UN Equity,Domino's Pizza Inc,US25754A2015
NTAP UW Equity,NetApp Inc,US64110D1046
DXC UN Equity,DXC Technology Co,US23355L1061
ODFL UW Equity,Old Dominion Freight Line Inc,US6795801009
CTXS UW Equity,Citrix Systems Inc,US1773761002
DVA UN Equity,DaVita Inc,US23918K1088
HIG UN Equity,Hartford Insurance Group Inc/The,US4165151048
IRM UN Equity,Iron Mountain Inc,US46284V1017
EL UN Equity,Estee Lauder Cos Inc/The,US5184391044
CDNS UW Equity,Cadence Design Systems Inc,US1273871087
TYL UN Equity,Tyler Technologies Inc,US9022521051
UHS UN Equity,Universal Health Services Inc,US9139031002
SWKS UW Equity,Skyworks Solutions Inc,US83088M1027
NOV UN Equity,NOV Inc,US62955J1034
DGX UN Equity,Quest Diagnostics Inc,US74834L1008
ATVI UW Equity,Activision Blizzard Inc,US00507V1098
ROK UN Equity,Rockwell Automation Inc,US7739031091
KHC UW Equity,Kraft Heinz Co/The,US5007541064
AMT UN Equity,American Tower Corp,US03027X1000
REGN UW Equity,Regeneron Pharmaceuticals Inc,US75886F1075
HFC UN Equity,HollyFrontier Corp,US4361061082
AMZN UW Equity,Amazon.com Inc,US0231351067
JKHY UW Equity,Jack Henry & Associates Inc,US4262811015
RL UN Equity,Ralph Lauren Corp,US7512121010
BXP UN Equity,BXP Inc,US1011211018
HWM UN Equity,Howmet Aerospace Inc,US4432011082
VLO UN Equity,Valero Energy Corp,US91913Y1001
SNPS UW Equity,Synopsys Inc,US8716071076
WU UN Equity,Western Union Co/The,US9598021098
ETSY UW Equity,Etsy Inc,US29786A1060
CHRW UW Equity,CH Robinson Worldwide Inc,US12541W2098
TDG UN Equity,TransDigm Group Inc,US8936411003
ACN UN Equity,Accenture PLC,IE00B4BNMY34
YUM UN Equity,Yum! Brands Inc,US9884981013
PLD UN Equity,Prologis Inc,US74340W1036
FE UN Equity,FirstEnergy Corp,US3379321074
VRSN UW Equity,VeriSign Inc,US92343E1029
PWR UN Equity,Quanta Services Inc,US74762E1029
HSIC UW Equity,Henry Schein Inc,US8064071025
AEE UN Equity,Ameren Corp,US0236081024
ANSS UW Equity,ANSYS Inc,US03662Q1058
NVDA UW Equity,NVIDIA Corp,US67066G1040
SEE UN Equity,Sealed Air Corp,US81211K1007
CTSH UW Equity,Cognizant Technology Solutions Corp,US1924461023
SIVBQ UW Equity,SVB Financial Group,US78486Q1013
ISRG UW Equity,Intuitive Surgical Inc,US46120E6023
TTWO UW Equity,Take-Two Interactive Software Inc,US8740541094
RSG UN Equity,Republic Services Inc,US7607591002
EBAY UW Equity,eBay Inc,US2786421030
GS UN Equity,Goldman Sachs Group Inc/The,US38141G1040
SBAC UW Equity,SBA Communications Corp,US78410G1040
SRE UN Equity,Sempra,US8168511090
MCO UN Equity,Moody's Corp,US6153691059
BKNG UW Equity,Booking Holdings Inc,US09857L1089
FFIV UW Equity,F5 Inc,US3156161024
AKAM UW Equity,Akamai Technologies Inc,US00971T1016
MKTX UW Equity,MarketAxess Holdings Inc,US57060D1081
GOOGL UW Equity,Alphabet Inc,US02079K3059
TFX UN Equity,Teleflex Inc,US8793691069
ALLE UN Equity,Allegion plc,IE00BFRT3W74
NFLX UW Equity,Netflix Inc,US64110L1061
A UN Equity,Agilent Technologies Inc,US00846U1016
ELV UN Equity,Elevance Health Inc,US0367521038
CME UW Equity,CME Group Inc,US12572Q1058
JNPR UN Equity,Juniper Networks Inc,US48203R1041
9903115D UN Equity,Blackrock Finance Inc,US09247X1019
DTE UN Equity,DTE Energy Co,US2333311072
CE UN Equity,Celanese Corp,US1508701034
NDAQ UW Equity,Nasdaq Inc,US6311031081
PM UN Equity,Philip Morris International Inc,US7181721090
IR UN Equity,Ingersoll Rand Inc,US45687V1061
CRM UN Equity,Salesforce Inc,US79466L3024
HII UN Equity,Huntington Ingalls Industries Inc,US4464131063
MET UN Equity,MetLife Inc,US59156R1086
UA UN Equity,Under Armour Inc,US9043112062
TPR UN Equity,Tapestry Inc,US8760301072
CSX UW Equity,CSX Corp,US1264081035
EW UN Equity,Edwards Lifesciences Corp,US28176E1082
AMP UN Equity,Ameriprise Financial Inc,US03076C1062
ZBRA UW Equity,Zebra Technologies Corp,US9892071054
ZBH UN Equity,Zimmer Biomet Holdings Inc,US98956P1021
CBRE UN Equity,CBRE Group Inc,US12504L1098
MA UN Equity,Mastercard Inc,US57636Q1040
KMX UN Equity,CarMax Inc,US1431301027
ICE UN Equity,Intercontinental Exchange Inc,US45866F1049
FIS UN Equity,Fidelity National Information Services Inc,US31620M1062
CMG UN Equity,Chipotle Mexican Grill Inc,US1696561059
LYV UN Equity,Live Nation Entertainment Inc,US5380341090
AIZ UN Equity,Assurant Inc,US04621X1081
NRG UN Equity,NRG Energy Inc,US6293775085
MNST UW Equity,Monster Beverage Corp,US61174X1090
RF UN Equity,Regions Financial Corp,US7591EP1005
MOS UN Equity,Mosaic Co/The,US61945C1036
EXPE UW Equity,Expedia Group Inc,US30212P3038
EVRG UN Equity,Evergy Inc,US30034W1062
DISCA UW Equity,Warner Bros Discovery Inc,US25470F1049
CF UN Equity,CF Industries Holdings Inc,US1252691001
LDOS UN Equity,Leidos Holdings Inc,US5253271028
GOOG UW Equity,Alphabet Inc,US02079K1079
COO UN Equity,Cooper Cos Inc/The,US2166485019
9983490D UN Equity,TE Connectivity Ltd,CH0102993182
DFS UN Equity,Discover Financial Services,US2547091080
LIN UN Equity,Linde PLC,IE000S9YS762
V UN Equity,Visa Inc,US92826C8394
MAA UN Equity,Mid-America Apartment Communities Inc,US59522J1034
XYL UN Equity,Xylem Inc/NY,US98419M1009
MPC UN Equity,Marathon Petroleum Corp,US56585A1025
TSCO UW Equity,Tractor Supply Co,US8923561067
AMD UW Equity,Advanced Micro Devices Inc,US0079031078
RMD UN Equity,ResMed Inc,US7611521078
MTD UN Equity,Mettler-Toledo International Inc,US5926881054
CPRT UW Equity,Copart Inc,US2172041061
FTNT UW Equity,Fortinet Inc,US34959E1091
ESS UN Equity,Essex Property Trust Inc,US2971781057
O UN Equity,Realty Income Corp,US7561091049
WRK UN Equity,Westrock Co,US96145D1054
2499073D UN Equity,IHS Markit Ltd,BMG475671050
WAB UN Equity,Westinghouse Air Brake Technologies Corp,US9297401088
POOL UW Equity,Pool Corp,US73278L1052
WDC UW Equity,Western Digital Corp,US9581021055
PEP UW Equity,PepsiCo Inc,US7134481081
FANG UW Equity,Diamondback Energy Inc,US25278X1090
MXIM UW Equity,Maxim Integrated Products Inc,US57772K1016
NOW UN Equity,ServiceNow Inc,US81762P1021
CHD UN Equity,Church & Dwight Co Inc,US1713401024
DRE UN Equity,Duke Realty Corp,US2644115055
FRT UN Equity,Federal Realty Investment Trust,US3137451015
MGM UN Equity,MGM Resorts International,US5529531015
AEP UW Equity,American Electric Power Co Inc,US0255371017
JBHT UW Equity,JB Hunt Transport Services Inc,US4456581077
LRCX UW Equity,Lam Research Corp,US5128073062
MHK UN Equity,Mohawk Industries Inc,US6081901042
PNR UN Equity,Pentair PLC,IE00BLS09M33
VRTX UW Equity,Vertex Pharmaceuticals Inc,US92532F1003
AMCR UN Equity,Amcor PLC,JE00BJ1F3079
META UW Equity,Meta Platforms Inc,US30303M1027
TMUS UW Equity,T-Mobile US Inc,US8725901040
URI UN Equity,United Rentals Inc,US9113631090
ARE UN Equity,Alexandria Real Estate Equities Inc,US0152711091
ABMD UW Equity,ABIOMED Inc,US0036541003
DAL UN Equity,Delta Air Lines Inc,US2473617023
UAL UW Equity,United Airlines Holdings Inc,US9100471096
STX UW Equity,Seagate Technology Holdings PLC,IE00BKVD2N49
CNC UN Equity,Centene Corp,US15135B1017
MLM UN Equity,Martin Marietta Materials Inc,US5732841060
TER UW Equity,Teradyne Inc,US8807701029
PYPL UW Equity,PayPal Holdings Inc,US70450Y1038
TSLA UW Equity,Tesla Inc,US88160R1014
DISH UW Equity,DISH Network Corp,US25470M1099
ALXN UW Equity,Alexion Pharmaceuticals Inc/MA,US0153511094
DOW UN Equity,Dow Inc,US2605571031
EG UN Equity,Everest Group Ltd,BMG3223R1088
TDY UN Equity,Teledyne Technologies Inc,US8793601050
NWSA UW Equity,News Corp,US65249B1098
EXC UW Equity,Exelon Corp,US30161N1019
GPN UN Equity,Global Payments Inc,US37940X1028
CCI UN Equity,Crown Castle Inc,US22822V1017
9991429D UN Equity,Aptiv Irish Holdings Ltd,JE00B783TY65
AAP UN Equity,Advance Auto Parts Inc,US00751Y1064
ALGN UW Equity,Align Technology Inc,US0162551016
ILMN UW Equity,Illumina Inc,US4523271090
LKQ UW Equity,LKQ Corp,US5018892084
NLSN UN Equity,Nielsen Holdings Ltd,GB00BWFY5505
GRMN UW Equity,Garmin Ltd,CH0114405324
ZTS UN Equity,Zoetis Inc,US98978V1035
EQIX UW Equity,Equinix Inc,US29444U7000
DLR UN Equity,Digital Realty Trust Inc,US2538681030
LVS UN Equity,Las Vegas Sands Corp,US5178341070
DISCK UW Equity,Warner Bros Discovery Inc,US25470F3029
CXO UN Equity,Concho Resources Inc,US20605P1012
RCL UN Equity,Royal Caribbean Cruises Ltd,LR0008862868
CCL UN Equity,Carnival Corp,PA1436583006
SLG UN Equity,SL Green Realty Corp,US78440X8873
IFF UN Equity,International Flavors & Fragrances Inc,US4595061015
DD UN Equity,DuPont de Nemours Inc,US26614N1028
COP UN Equity,ConocoPhillips,US20825C1045
2078185D UN Equity,Tiffany & Co,US8865471085
NCLH UN Equity,Norwegian Cruise Line Holdings Ltd,BMG667211046
MS UN Equity,Morgan Stanley,US6174464486
APH UN Equity,Amphenol Corp,US0320951017
PXD UN Equity,Pioneer Natural Resources Co,US7237871071
DVN UN Equity,Devon Energy Corp,US25179M1036
FTI UN Equity,TechnipFMC PLC,GB00BDSFG982
WYNN UW Equity,Wynn Resorts Ltd,US9831341071
APA UW Equity,APA Corp,US03743Q1085
ALB UN Equity,Albemarle Corp,US0126531013
VNT UN Equity,Vontier Corp,US9288811014
